SERVIÇO,CID,ATENDIMENTOS,n pacientes,reinternacoes,obitos,mortalidade,estada,estadas prolongadas,taxa de eventos adversos
BANCO DE TECIDOS,Z25.8  NECESSIDADE DE IMUNIZAÇÃO CONTRA OUTRAS DOENÇAS VIRAIS ÚNICAS ESPECIFICADAS,1,1,0,0,0.0,0.0,0,0.0
BANCO DE TECIDOS,Z52.1  DOADOR DE PELE,3,3,0,0,0.0,0.0,0,0.0
BANCO DE TECIDOS,Z52.5  DOADOR DE CÓRNEA,324,324,0,0,0.0,0.0,16,0.04938271604938271
BANCO DE TECIDOS,Z52.8  DOADOR DE OUTROS ÓRGÃOS OU TECIDOS,129,129,0,0,0.0,0.0,5,0.03875968992248062
CENTRO DE PELVE E ACETABULO,M19.1  ARTROSE PÓS-TRAUMÁTICA DE OUTRAS ARTICULAÇÕES,1,1,0,0,0.0,10.0,0,0.0
CENTRO DE PELVE E ACETABULO,S32.0  FRATURA DE VÉRTEBRA LOMBAR,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE PELVE E ACETABULO,S32.1  FRATURA DO SACRO,2,2,0,0,0.0,16.0,1,0.5
CENTRO DE PELVE E ACETABULO,S32.4  FRATURA DO ACETÁBULO,30,30,0,0,0.0,8.5,6,0.2
CENTRO DE PELVE E ACETABULO,S32.8  FRATURA DE OUTRAS PARTES DA COLUNA LOMBOSSACRA E DA PELVE E DE PARTES NÃO ESPECIFICADAS,1,1,0,0,0.0,1.0,0,0.0
CENTRO DE PELVE E ACETABULO,"S53.1  LUXAÇÃO DO COTOVELO, NÃO ESPECIFICADA",1,1,0,0,0.0,23.0,0,0.0
CENTRO DE PELVE E ACETABULO,T84.1  COMPLICAÇÃO MECÂNICA DE DISPOSITIVO DE FIXAÇÃO INTERNA DE OSSOS DOS MEMBROS,1,1,0,0,0.0,57.0,0,0.0
CENTRO DE PELVE E ACETABULO,"T85.7  INFECÇÃO E REAÇÃO INFLAMATÓRIA DEVIDA A OUTROS DISPOSITIVOS PROTÉT., IMPLANTES E ENXERTOS INTERNOS",1,1,0,0,0.0,52.0,0,0.0
CENTRO DE PELVE E ACETABULO,T88.9  COMPLICAÇÃO NÃO ESPECIFICADA DE CUIDADOS MÉDICOS E CIRÚRGICOS,1,1,0,0,0.0,51.0,0,0.0
CENTRO DE PELVE E ACETABULO,T98.3  SEQÜELAS DE COMPLICAÇÕES DOS CUIDADOS MÉDICOS E CIRÚRGICOS NÃO CLASSIFICADOS EM OUTRA PARTE,1,1,0,0,0.0,87.0,0,0.0
CENTRO DE TRAUMA ADULTO,A02.8  OUTRAS INFECÇÕES ESPECIFICADAS POR SALMONELA,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,A20.1  PESTE CELULOCUTÂNEA,1,1,0,0,0.0,51.0,0,0.0
CENTRO DE TRAUMA ADULTO,A30.0  HANSENÍASE [LEPRA] INDETERMINADA,1,1,0,0,0.0,7.0,0,0.0
CENTRO DE TRAUMA ADULTO,A48.0  GANGRENA GASOSA,1,1,0,0,0.0,31.0,0,0.0
CENTRO DE TRAUMA ADULTO,A49.9  INFECÇÃO BACTERIANA NÃO ESPECIFICADA,4,4,0,0,0.0,40.5,1,0.25
CENTRO DE TRAUMA ADULTO,B91  SEQÜELAS DE POLIOMIELITE,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,"C88.9  DOENÇA IMUNOPROLIFERATIVA MALIGNA, NÃO ESPECIFICADA",6,6,0,0,0.0,32.5,2,0.3333333333333333
CENTRO DE TRAUMA ADULTO,D16.3  NEOPLASIA BENIGNA DOS OSSOS CURTOS DOS MEMBROS INFERIORES,1,1,0,0,0.0,4.0,0,0.0
CENTRO DE TRAUMA ADULTO,F48.9  TRANSTORNO NEURÓTICO NÃO ESPECIFICADO,1,1,0,0,0.0,3.0,0,0.0
CENTRO DE TRAUMA ADULTO,"G40.9  EPILEPSIA, NÃO ESPECIFICADA",1,1,0,0,0.0,15.0,0,0.0
CENTRO DE TRAUMA ADULTO,G54.0  TRANSTORNOS DO PLEXO BRAQUIAL,1,1,0,0,0.0,7.0,0,0.0
CENTRO DE TRAUMA ADULTO,I13.2  DOENÇA CARDÍACA E RENAL HIPERTENSIVA COM INSUFICIÊNCIA CARDÍACA (CONGESTIVA) E INSUFICIÊNCIA RENAL,2,2,0,0,0.0,41.5,1,0.5
CENTRO DE TRAUMA ADULTO,I21.0  INFARTO AGUDO TRANSMURAL DA PAREDE ANTERIOR DO MIOCÁRDIO,1,1,0,0,0.0,41.0,0,0.0
CENTRO DE TRAUMA ADULTO,I80.2  FLEBITE E TROMBOFLEBITE DE OUTROS VASOS PROFUNDOS DOS MEMBROS INFERIORES,1,1,0,0,0.0,2.0,0,0.0
CENTRO DE TRAUMA ADULTO,I82.8  EMBOLIA E TROMBOSE DE OUTRAS VEIAS ESPECIFICADAS,1,1,0,0,0.0,21.0,0,0.0
CENTRO DE TRAUMA ADULTO,I82.9  EMBOLIA E TROMBOSE VENOSAS DE VEIA NÃO ESPECIFICADA,1,1,0,0,0.0,5.0,0,0.0
CENTRO DE TRAUMA ADULTO,I89.0  LINFEDEMA NÃO CLASSIFICADO EM OUTRA PARTE,1,1,0,0,0.0,14.0,0,0.0
CENTRO DE TRAUMA ADULTO,J18.0  BRONCOPNEUMONIA NÃO ESPECIFICADA,1,1,0,0,0.0,12.0,0,0.0
